Session_ID,Station_ID,Session_Date,Energy_Consumed_kWh,Charging_Duration_Mins,Revenue_INR,Peak_Hour_Flag,User_Rating
SES-000827,ST-0240,2024-05-05,3.45,62.7,31.74,Yes,3.9
SES-001425,ST-0239,2023-11-21,16.83,45.9,201.97,No,3.9
SES-001056,ST-0298,2024-03-05,51.65,20.7,1306.8,Yes,3.7
SES-000665,ST-0210,2023-07-12,36.8,36.8,761.73,Yes,3.5
SES-001284,ST-0053,2024-12-15,18.94,51.6,261.32,Yes,4.9
SES-001221,ST-0178,2023-04-11,2.86,52.0,22.86,No,3.1
SES-000817,ST-0192,2024-10-02,1.65,29.9,13.18,No,3.9
SES-000941,ST-0275,2024-08-03,37.81,37.8,680.5,No,3.5
SES-000847,ST-0091,2023-05-07,8.16,22.2,97.89,No,4.7
SES-000247,ST-0241,2024-11-27,1.1,19.9,8.77,No,4.9
SES-000368,ST-0190,2024-09-10,36.4,36.4,753.55,Yes,3.7
SES-001408,ST-0096,2024-11-28,26.02,26.0,468.36,No,3.9
SES-001145,ST-0131,2024-03-09,,18.9,,Yes,4.2
SES-001130,ST-0081,2024-05-04,90.26,36.1,2283.59,Yes,3.9
SES-000143,ST-0090,2023-08-30,19.26,52.5,231.06,No,3.4
SES-000146,ST-0250,2024-11-13,45.41,45.4,939.94,Yes,3.6
SES-000772,ST-0150,2023-02-18,42.69,17.1,1080.03,Yes,3.8
SES-000015,ST-0189,2023-08-02,94.51,37.8,2390.98,Yes,4.1
SES-000598,ST-0154,2024-09-08,14.27,38.9,171.21,No,4.4
SES-001291,ST-0270,2023-06-28,1.47,26.7,11.76,No,3.3
SES-000526,ST-0101,2024-08-23,41.02,41.0,738.33,No,3.1
SES-001019,ST-0028,2024-04-25,2.36,43.0,21.74,Yes,4.1
SES-000273,ST-0017,2023-09-13,9.08,,108.95,No,4.3
SES-001216,ST-0219,2023-03-30,36.87,36.9,763.18,Yes,4.0
SES-000422,ST-0058,2023-03-10,41.46,41.5,746.35,No,4.9
SES-001447,ST-0188,2023-12-29,42.29,42.3,761.21,No,3.8
SES-001065,ST-0135,2024-06-14,7.72,21.1,92.63,No,4.1
SES-000182,ST-0296,2024-11-17,19.44,53.0,233.32,No,4.3
SES-000626,ST-0235,2024-08-12,7.23,19.7,86.79,No,3.2
SES-000456,ST-0201,2023-08-07,2.2,40.1,20.28,Yes,4.3
SES-000793,ST-0041,2024-05-30,20.47,20.5,368.43,No,4.0
SES-001462,ST-0200,2024-06-14,64.03,25.6,1620.03,Yes,4.6
SES-001077,ST-0112,2023-07-30,114.21,45.7,2889.53,Yes,3.4
SES-000945,ST-0097,2023-11-18,9.31,25.4,128.5,Yes,3.4
SES-000810,ST-0142,2023-02-22,50.46,20.2,1276.58,Yes,3.7
SES-000240,ST-0183,2024-10-26,12.42,33.9,149.03,No,4.6
SES-000386,ST-0089,2024-08-24,2.38,43.2,21.85,Yes,4.2
SES-000046,ST-0207,2023-04-19,14.71,40.1,176.49,No,3.6
SES-001166,ST-0259,2023-06-25,28.06,28.1,505.06,No,4.7
SES-001343,ST-0267,2024-03-23,9.4,25.6,129.78,Yes,4.0
SES-000989,ST-0156,2024-11-14,9.02,24.6,124.48,Yes,4.9
SES-001183,ST-0285,2023-12-10,119.79,47.9,2635.36,No,5.0
SES-000453,ST-0209,2023-12-01,7.06,19.2,84.7,No,4.6
SES-001437,ST-0286,2023-12-16,37.21,37.2,669.84,No,3.5
SES-000653,ST-0279,2023-05-12,3.93,71.4,36.15,Yes,3.3
SES-000432,ST-0022,2024-04-20,13.47,36.7,161.58,No,4.3
SES-001237,ST-0137,2024-09-27,10.72,29.2,128.69,No,3.7
SES-000092,ST-0203,2023-08-21,33.03,33.0,683.63,Yes,3.9
SES-000458,ST-0008,2023-11-20,32.35,32.4,582.37,No,3.1
SES-001275,ST-0265,2024-05-30,110.57,44.2,2432.47,No,3.7
SES-001079,ST-0017,2023-10-06,6.15,16.8,73.74,No,3.3
SES-000200,ST-0202,2023-04-02,5.49,15.0,75.72,Yes,3.3
SES-001389,ST-0231,2023-07-03,34.29,34.3,617.3,No,4.2
SES-000242,ST-0147,2023-12-28,1.48,26.9,11.85,No,3.4
SES-000725,ST-0299,2023-11-09,1.84,33.5,14.73,No,3.7
SES-001082,ST-0267,2024-10-09,6.92,18.9,83.04,No,3.9
SES-001143,ST-0111,2024-04-08,5.75,15.7,68.98,No,3.2
SES-001234,ST-0193,2024-03-07,21.33,21.3,383.93,No,4.8
SES-000668,ST-0265,2024-09-29,76.49,30.6,1935.09,Yes,4.1
SES-000070,ST-0077,2023-03-04,310.689615330147,28.7,145.13,Yes,4.8
SES-001320,ST-0003,2024-09-17,39.89,39.9,718.03,No,3.6
SES-000740,ST-0088,2023-12-29,16.56,45.2,228.48,Yes,3.8
SES-000904,ST-0013,2023-06-10,108.62,43.4,2389.66,No,4.1
SES-001454,ST-0126,2024-03-22,8.36,22.8,100.35,No,4.9
SES-001106,ST-0090,2023-10-19,18.57,50.6,222.83,No,3.8
SES-001481,ST-0174,2023-05-03,28.58,28.6,514.35,No,4.2
SES-000144,ST-0073,2024-10-04,24.72,,444.93,No,4.1
SES-001132,ST-0041,2023-09-28,38.76,38.8,802.3,Yes,4.1
SES-001015,ST-0034,2024-03-30,19.16,52.3,264.46,Yes,5.0
SES-000766,ST-0026,2023-02-22,1.37,,12.57,Yes,5.0
