Session_ID,Station_ID,Session_Date,Energy_Consumed_kWh,Charging_Duration_Mins,Revenue_INR,Peak_Hour_Flag,User_Rating,Session_Year
SES-000817,ST-0192,02-10-2024,1.65,29.9,13,No,3.9,2024
SES-000941,ST-0275,03-08-2024,37.81,37.8,680,No,3.5,2024
SES-000247,ST-0241,27-11-2024,1.1,19.9,9,No,4.9,2024
SES-001408,ST-0096,28-11-2024,26.02,26,468,No,3.9,2024
SES-000598,ST-0154,08-09-2024,14.27,38.9,171,No,4.4,2024
SES-000526,ST-0101,23-08-2024,41.02,41,738,No,3.1,2024
SES-001065,ST-0135,14-06-2024,7.72,21.1,93,No,4.1,2024
SES-000182,ST-0296,17-11-2024,19.44,53,233,No,4.3,2024
SES-000626,ST-0235,12-08-2024,7.23,19.7,87,No,3.2,2024
SES-000793,ST-0041,30-05-2024,20.47,20.5,368,No,4,2024
SES-000240,ST-0183,26-10-2024,12.42,33.9,149,No,4.6,2024
SES-000432,ST-0022,20-04-2024,13.47,36.7,162,No,4.3,2024
SES-001237,ST-0137,27-09-2024,10.72,29.2,129,No,3.7,2024
SES-001275,ST-0265,30-05-2024,110.57,44.2,2432,No,3.7,2024
SES-001082,ST-0267,09-10-2024,6.92,18.9,83,No,3.9,2024
SES-001143,ST-0111,08-04-2024,5.75,15.7,69,No,3.2,2024
SES-001234,ST-0193,07-03-2024,21.33,21.3,384,No,4.8,2024
SES-001320,ST-0003,17-09-2024,39.89,39.9,718,No,3.6,2024
SES-001454,ST-0126,22-03-2024,8.36,22.8,100,No,4.9,2024
SES-000144,ST-0073,04-10-2024,24.72,35.83,445,No,4.1,2024
SES-000986,ST-0025,23-03-2024,34.51,36.9,2030,No,3.6,2024
SES-001339,ST-0188,13-12-2024,34.26,34.3,617,No,3.2,2024
SES-000874,ST-0068,16-07-2024,1.9,34.5,15,No,4.1,2024
SES-000069,ST-0139,18-09-2024,5.17,14.1,62,No,3.9,2024
SES-000281,ST-0088,02-10-2024,5.69,15.5,68,No,3.6,2024
SES-001317,ST-0167,02-01-2024,86.91,34.8,1912,No,4.3,2024
SES-001095,ST-0191,23-06-2024,104.4,41.8,2297,No,4.9,2024
SES-001169,ST-0065,18-12-2024,3.09,56.2,25,No,3.7,2024
SES-000403,ST-0024,04-05-2024,36.83,36.8,663,No,3.5,2024
SES-000471,ST-0169,07-06-2024,98.13,39.3,2159,No,4,2024
SES-000985,ST-0035,06-12-2024,2.76,50.2,22,No,3.7,2024
SES-000780,ST-0216,06-01-2024,30.78,30.8,554,No,4.3,2024
SES-000565,ST-0230,07-11-2024,2.03,36.8,16,No,4.8,2024
SES-000860,ST-0201,06-09-2024,1.08,35.83,9,No,4.8,2024
SES-000337,ST-0068,22-09-2024,1.94,35.3,16,No,3.7,2024
SES-001098,ST-0056,21-03-2024,97.5,39,2145,No,3.1,2024
SES-000066,ST-0273,22-05-2024,9.19,25.1,110,No,3.5,2024
SES-001283,ST-0227,03-06-2024,39.66,39.7,714,No,3.9,2024
SES-000912,ST-0170,24-10-2024,1.87,33.9,15,No,3.2,2024
SES-000158,ST-0266,02-03-2024,44.44,44.4,677.15,No,3.3,2024
SES-001428,ST-0080,06-01-2024,64.79,25.9,1425,No,4.5,2024
SES-000791,ST-0047,04-04-2024,18.1,49.4,217,No,4.1,2024
SES-000174,ST-0035,02-08-2024,2.57,46.8,21,No,3.5,2024
SES-000284,ST-0279,11-12-2024,3.45,62.7,28,No,3.2,2024
SES-000872,ST-0035,28-02-2024,2.69,48.8,677.15,No,4.7,2024
SES-000641,ST-0163,06-05-2024,1.59,28.9,13,No,3.6,2024
SES-001298,ST-0142,10-08-2024,106.67,42.7,2347,No,3.7,2024
SES-000602,ST-0045,11-04-2024,88.79,35.5,1953,No,3.8,2024
SES-001363,ST-0277,16-12-2024,8.22,22.4,99,No,4.2,2024
SES-000401,ST-0022,25-02-2024,19.77,35.83,237,No,3.7,2024
SES-000115,ST-0201,24-02-2024,2.83,51.5,23,No,3.1,2024
SES-001436,ST-0169,12-09-2024,93.48,37.4,2057,No,4.9,2024
SES-001261,ST-0011,13-10-2024,8.39,22.9,101,No,3.4,2024
SES-000923,ST-0083,12-02-2024,97.93,39.2,2154,No,3,2024
SES-000466,ST-0192,14-12-2024,3,54.6,24,No,3.5,2024
SES-000884,ST-0146,18-07-2024,6.07,16.6,73,No,3.3,2024
SES-000749,ST-0084,03-02-2024,3.19,58,26,No,4.5,2024
SES-001455,ST-0263,17-12-2024,6.62,18.1,79,No,3.1,2024
SES-000583,ST-0290,17-11-2024,42.15,42.1,759,No,5,2024
SES-001097,ST-0275,23-10-2024,35.64,35.6,642,No,3.4,2024
SES-000362,ST-0146,09-06-2024,19.23,52.5,231,No,4.2,2024
SES-001334,ST-0153,17-03-2024,2.13,35.83,17,No,3,2024
SES-001357,ST-0009,30-05-2024,29.03,29,523,No,3.8,2024
SES-001054,ST-0205,17-05-2024,40.14,40.1,723,No,3.5,2024
SES-000800,ST-0101,04-02-2024,30.22,30.2,544,No,4.5,2024
SES-000342,ST-0183,10-11-2024,12.33,33.6,148,No,3.6,2024
SES-001310,ST-0267,26-07-2024,7.55,20.6,91,No,4.2,2024
SES-000357,ST-0228,18-03-2024,22.13,22.1,398,No,4.8,2024
SES-001085,ST-0146,22-10-2024,6.67,18.2,80,No,3.4,2024
SES-001241,ST-0130,14-06-2024,10.55,28.8,127,No,3.3,2024
SES-000664,ST-0195,09-11-2024,28.28,28.3,509,No,4.1,2024
SES-000113,ST-0105,26-06-2024,41.4,41.4,745,No,3.2,2024
SES-000189,ST-0299,02-05-2024,2.26,41.1,18,No,3.6,2024
SES-000406,ST-0273,11-11-2024,17.33,47.3,208,No,3.3,2024
SES-001004,ST-0097,11-04-2024,5.99,16.3,72,No,3.8,2024
SES-001380,ST-0211,04-08-2024,41.15,41.2,741,No,3.1,2024
SES-000184,ST-0189,25-12-2024,114.65,45.9,2522,No,4,2024
SES-000950,ST-0290,28-03-2024,49.83,49.8,897,No,3.3,2024
SES-001055,ST-0066,13-05-2024,3.67,66.6,29,No,4.8,2024
SES-000371,ST-0300,18-02-2024,17.63,48.1,212,No,4,2024
SES-000697,ST-0170,16-10-2024,2.05,37.3,16,No,3.7,2024
SES-000279,ST-0170,16-06-2024,3.22,58.6,26,No,4.1,2024
SES-000213,ST-0259,23-08-2024,42.19,42.2,759,No,3.5,2024
SES-000574,ST-0096,31-05-2024,47.02,47,846,No,4.3,2024
SES-001340,ST-0154,13-03-2024,9.22,25.2,111,No,3.8,2024
SES-001222,ST-0286,03-09-2024,25.23,25.2,454,No,4.2,2024
SES-000022,ST-0098,02-05-2024,1.91,34.8,15,No,3.5,2024
SES-001239,ST-0170,07-02-2024,2.69,48.8,21,No,4.5,2024
SES-001416,ST-0279,04-06-2024,1.39,25.3,11,No,3.8,2024
SES-000021,ST-0240,16-05-2024,3.33,60.5,27,No,3.9,2024
SES-000790,ST-0261,27-07-2024,2.07,37.6,17,No,4.9,2024
SES-000350,ST-0254,10-02-2024,42.74,42.7,769,No,4.7,2024
SES-000700,ST-0088,24-04-2024,19.49,53.2,234,No,3.7,2024
SES-000129,ST-0034,25-09-2024,19.53,53.3,234,No,5,2024
SES-000828,ST-0127,15-04-2024,57.68,23.1,1269,No,3.1,2024
SES-001203,ST-0107,10-04-2024,43.79,43.8,788,No,4,2024
SES-001337,ST-0124,24-01-2024,11.85,32.3,142,No,4.5,2024
SES-000412,ST-0243,12-08-2024,34.51,22.5,406,No,4,2024
SES-000103,ST-0092,06-01-2024,15.21,41.5,183,No,5,2024
