Vehicle_ID,EV_Type,State,City,Registration_Date,Daily_KM_Travelled,Battery_Capacity_kWh,Charging_Frequency_Per_Week
VH-00753,4W-Electric,Maharashtra,Thane,2021-09-28,47.2,38.7,5.0
VH-00886,2W-Electric,Punjab,Ludhiana,2023-03-06,38.4,2.5,6.0
VH-01069,3W-Electric,Haryana,Gurugram,2024-01-07,24.5,7.4,7.0
VH-00858,4W-Electric,Delhi,New Delhi,2022-06-19,,39.9,2.0
VH-00399,2W-Electric,Gujarat,Vadodara,2021-04-08,29.2,2.1,3.0
VH-01038,3W-Electric,Andhra Pradesh,Guntur,2024-01-14,46.4,6.1,2.0
VH-00954,2W-Electric,Tamil Nadu,Chennai,2022-09-03,53.7,2.1,4.0
VH-00048,2W-Electric,Maharashtra,Pune,2022-04-14,46.5,2.2,2.0
VH-00674,E-Bus,Uttar Pradesh,Lucknow,2024-11-27,38.4,167.6,5.0
VH-00871,E-Bus,Punjab,Jalandhar,2023-09-29,59.9,187.8,7.0
VH-00927,3W-Electric,Madhya Pradesh,Gwalior,2021-02-22,91.2,8.5,7.0
VH-00978,2W-Electric,Karnataka,Mysuru,2022-08-19,48.0,2.6,4.0
VH-00487,E-Cargo,Uttar Pradesh,Kanpur,2023-11-22,59.8,54.4,3.0
VH-00708,4W-Electric,Uttar Pradesh,Agra,2021-06-28,70.6,45.5,5.0
VH-00847,E-Cargo,Kerala,Kozhikode,2022-03-29,79.0,68.2,7.0
VH-01039,2W-Electric,Rajasthan,Kota,2024-06-15,26.7,2.6,7.0
VH-00861,E-Bus,Kerala,Kollam,2024-12-13,62.9,208.8,2.0
VH-00928,4W-Electric,Uttar Pradesh,Agra,2023-05-08,62.0,37.0,5.0
VH-00857,E-Bus,Gujarat,Surat,2021-05-31,59.1,170.7,2.0
VH-01134,E-Cargo,Telangana,Khammam,2024-07-29,,50.4,2.0
VH-00437,E-Bus,Punjab,Chandigarh,2022-03-16,77.6,235.5,6.0
VH-00138,E-Cargo,Andhra Pradesh,Visakhapatnam,2023-02-19,88.2,52.2,5.0
VH-00641,3W-Electric,Kerala,Kollam,2024-11-04,10.0,7.9,5.0
VH-00951,2W-Electric,Gujarat,Ahmedabad,2024-07-07,20.9,2.1,7.0
VH-00274,3W-Electric,Rajasthan,Jaipur,2023-08-24,73.2,8.0,2.0
VH-00415,2W-Electric,Maharashtra,Nashik,2022-10-09,56.9,2.7,4.0
VH-00103,3W-Electric,Karnataka,Hubli,2024-04-04,35.7,6.6,4.0
VH-00392,3W-Electric,West Bengal,Durgapur,2023-03-02,26.7,7.2,2.0
VH-01133,4W-Electric,Maharashtra,Nagpur,2022-01-04,37.8,43.3,6.0
VH-00609,2W-Electric,Telangana,Warangal,2021-07-17,57.8,3.0,6.0
VH-00021,3W-Electric,Rajasthan,Jaipur,2021-03-07,110.6,6.9,4.0
VH-00200,E-Cargo,Delhi,Faridabad,2024-09-16,38.1,68.8,3.0
VH-00100,3W-Electric,Gujarat,Ahmedabad,2023-03-28,50.2,7.9,4.0
VH-00271,2W-Electric,Karnataka,Mangaluru,2022-06-26,33.8,2.0,6.0
VH-00883,3W-Electric,Gujarat,Surat,2021-03-29,49.1,8.6,5.0
VH-00841,E-Bus,Andhra Pradesh,Tirupati,2024-08-22,,186.3,4.0
VH-01122,E-Cargo,Telangana,Warangal,2023-04-12,29.2,63.0,4.0
VH-00908,2W-Electric,West Bengal,Asansol,2024-10-27,65.7,2.4,2.0
VH-00469,3W-Electric,Uttar Pradesh,Kanpur,2021-07-18,47.5,8.7,2.0
VH-00670,2W-Electric,Tamil Nadu,Madurai,2023-09-16,,2.9,2.0
VH-00693,E-Cargo,Kerala,Thiruvananthapuram,2023-02-25,75.6,53.6,5.0
VH-00489,E-Cargo,Kerala,Kozhikode,2022-11-20,63.1,68.4,6.0
VH-00438,E-Bus,Delhi,Faridabad,2022-02-14,53.4,227.6,2.0
VH-00971,4W-Electric,Andhra Pradesh,Tirupati,2021-11-25,40.3,41.3,2.0
VH-00491,E-Bus,Kerala,Kozhikode,2021-02-04,75.2,215.8,4.0
VH-00996,3W-Electric,Madhya Pradesh,Jabalpur,2024-02-18,51.4,7.2,6.0
VH-01054,4W-Electric,Rajasthan,Jaipur,2023-12-13,25.3,37.4,3.0
VH-00412,E-Bus,Tamil Nadu,Vellore,2024-11-25,39.0,188.5,5.0
VH-00506,4W-Electric,Gujarat,Vadodara,2024-12-14,63.2,33.1,3.0
VH-00269,2W-Electric,Andhra Pradesh,Guntur,2023-08-18,38.8,2.5,2.0
VH-01060,4W-Electric,Karnataka,Shivamogga,2023-07-02,37.7,47.5,3.0
VH-00855,4W-Electric,Uttar Pradesh,Varanasi,2024-01-24,51.2,35.0,5.0
VH-01178,E-Cargo,Andhra Pradesh,Kurnool,2022-12-14,40.2,60.4,4.0
VH-00362,3W-Electric,Tamil Nadu,Chennai,2024-12-20,51.7,9.0,5.0
VH-01084,2W-Electric,Tamil Nadu,Chennai,2021-01-11,48.3,2.8,6.0
VH-00062,E-Bus,Maharashtra,Nagpur,2021-01-05,21.5,184.1,5.0
VH-00231,E-Bus,Uttar Pradesh,Kanpur,2024-01-09,,201.6,5.0
VH-00660,E-Cargo,Kerala,Thrissur,2023-04-01,66.0,60.6,6.0
VH-00356,2W-Electric,Haryana,Panipat,2024-08-13,52.0,2.2,2.0
VH-00328,E-Bus,Karnataka,Hubli,2024-09-17,,184.9,
VH-00183,3W-Electric,Andhra Pradesh,Kurnool,2022-07-16,48.8,7.3,2.0
VH-00513,4W-Electric,Haryana,Yamunanagar,2024-02-26,52.4,32.4,7.0
VH-00526,E-Cargo,Uttar Pradesh,Allahabad,2023-12-10,50.9,53.5,5.0
VH-00983,E-Bus,Tamil Nadu,Chennai,2023-03-31,49.9,168.3,5.0
VH-00912,E-Bus,Delhi,New Delhi,2021-04-12,46.4,232.5,3.0
VH-00474,E-Cargo,Karnataka,Mangaluru,2023-07-26,73.8,61.9,3.0
VH-00695,3W-Electric,Tamil Nadu,Tiruchirappalli,2023-09-30,31.5,7.6,4.0
VH-01115,3W-Electric,Punjab,Jalandhar,2021-05-09,49.4,7.2,4.0
VH-00227,E-Cargo,Telangana,Warangal,2023-11-07,27.6,70.9,7.0
VH-01064,E-Cargo,Haryana,Panipat,2023-11-08,101.7,57.6,5.0
VH-00621,2W-Electric,Tamil Nadu,Madurai,2022-03-01,46.0,2.9,6.0
VH-00364,4W-Electric,Rajasthan,Udaipur,2023-03-05,58.0,44.0,5.0
VH-00069,3W-Electric,Karnataka,Shivamogga,2023-04-07,39.5,8.0,2.0
VH-00525,2W-Electric,Kerala,Kollam,2022-11-18,73.0,3.0,4.0
VH-00882,E-Bus,Tamil Nadu,Chennai,2021-12-21,108.3,169.2,3.0
VH-00452,2W-Electric,Haryana,Gurugram,2023-11-28,61.3,3.0,3.0
VH-00466,4W-Electric,Tamil Nadu,Madurai,2022-12-09,43.0,35.0,5.0
VH-00350,E-Cargo,Uttar Pradesh,Varanasi,2024-04-01,43.3,48.1,5.0
VH-00240,4W-Electric,Punjab,Chandigarh,2024-06-30,11.6,44.5,7.0
VH-00716,3W-Electric,Maharashtra,Aurangabad,2024-12-07,69.2,6.9,3.0
VH-00530,4W-Electric,Andhra Pradesh,Guntur,2024-03-08,54.4,35.0,7.0
VH-00236,E-Bus,Telangana,Warangal,2021-03-17,72.6,177.0,3.0
VH-00249,3W-Electric,Punjab,Amritsar,2021-12-25,33.0,6.4,2.0
VH-00915,2W-Electric,Telangana,Khammam,2024-10-29,51.0,2.7,2.0
VH-00320,2W-Electric,Haryana,Panipat,2022-01-05,55.3,2.9,
VH-00016,4W-Electric,Uttar Pradesh,Allahabad,2021-11-30,73.9,33.6,4.0
VH-00787,2W-Electric,Rajasthan,Bikaner,2022-11-18,84.1,2.8,
VH-01065,4W-Electric,Uttar Pradesh,Lucknow,2024-08-27,60.8,47.9,3.0
