Vehicle_ID,EV_Type,State,City,Registration_Date,Daily_KM_Travelled,Battery_Capacity_kWh,Charging_Frequency_Per_Week,EV_Category,Registration_Year
VH-01134,E-Cargo,Telangana,Khammam,29-07-2024,58.2,50.4,2,Commercial - Cargo,2024
VH-00200,E-Cargo,Delhi,Faridabad,16-09-2024,38.1,68.8,3,Commercial - Cargo,2024
VH-00350,E-Cargo,Uttar Pradesh,Varanasi,01-04-2024,43.3,48.1,5,Commercial - Cargo,2024
VH-00497,E-Cargo,Gujarat,Ahmedabad,05-12-2024,71.4,48.2,2,Commercial - Cargo,2024
VH-00336,E-Cargo,Tamil Nadu,Salem,12-12-2024,60.6,56.3,3,Commercial - Cargo,2024
VH-00881,E-Cargo,Kerala,Kollam,19-10-2024,75.4,68.4,6,Commercial - Cargo,2024
VH-00127,E-Cargo,Punjab,Jalandhar,19-02-2024,37.1,48.7,6,Commercial - Cargo,2024
VH-00654,E-Cargo,Kerala,Thiruvananthapuram,23-01-2024,35.3,55.4,3,Commercial - Cargo,2024
VH-00890,E-Cargo,Tamil Nadu,Tiruchirappalli,08-04-2024,56.5,60.3,2,Commercial - Cargo,2024
VH-00921,E-Cargo,Karnataka,Bengaluru,18-09-2024,31.2,63.2,4,Commercial - Cargo,2024
VH-00441,E-Cargo,Andhra Pradesh,Visakhapatnam,16-01-2024,34.2,49.8,4,Commercial - Cargo,2024
VH-00620,E-Cargo,Delhi,Gurugram,09-09-2024,95.1,62.8,2,Commercial - Cargo,2024
VH-00955,E-Cargo,Uttar Pradesh,Allahabad,06-05-2024,50.6,58.1,6,Commercial - Cargo,2024
VH-00458,E-Cargo,Tamil Nadu,Vellore,24-05-2024,30.9,64.3,4,Commercial - Cargo,2024
VH-01041,E-Cargo,Telangana,Warangal,26-11-2024,77.2,57.8,4,Commercial - Cargo,2024
VH-01006,E-Cargo,Madhya Pradesh,Gwalior,26-02-2024,44.2,70.9,3,Commercial - Cargo,2024
VH-01138,E-Cargo,Haryana,Faridabad,12-09-2024,73.9,69.8,6,Commercial - Cargo,2024
VH-00910,E-Cargo,Tamil Nadu,Salem,04-02-2024,57.4,64.7,4,Commercial - Cargo,2024
VH-00322,E-Cargo,Tamil Nadu,Coimbatore,08-09-2024,56.9,63,5,Commercial - Cargo,2024
VH-00090,E-Cargo,Haryana,Panipat,06-02-2024,71.9,48.2,3,Commercial - Cargo,2024
VH-00312,E-Cargo,West Bengal,Kolkata,25-02-2024,66.8,51.9,6,Commercial - Cargo,2024
VH-00664,E-Cargo,Kerala,Kochi,14-08-2024,53.5,61.2,7,Commercial - Cargo,2024
VH-00401,E-Cargo,Haryana,Ambala,03-01-2024,22.4,48.4,2,Commercial - Cargo,2024
VH-00193,E-Cargo,Telangana,Karimnagar,25-06-2024,14.3,66.7,2,Commercial - Cargo,2024
VH-00543,E-Cargo,West Bengal,Asansol,22-09-2024,51.5,48.3,3,Commercial - Cargo,2024
VH-00929,E-Cargo,Telangana,Hyderabad,21-12-2024,51.7,59.3,6,Commercial - Cargo,2024
VH-00987,E-Cargo,Kerala,Thrissur,21-10-2024,52.9,68.8,5,Commercial - Cargo,2024
