Location_ID,State,City,Estimated_EV_Density,Land_Cost_INR,Estimated_Setup_Cost_INR,Total_Investment_INR,Expected_Daily_Users,Expected_Monthly_Rev_INR,Expected_Annual_Rev_INR,ROI_Percentage,Priority_Score,ROI_Band
LOC-0054,West Bengal,Asansol,38.0,1534000.0,3347000.0,4881000,35,79500,954000,4.5,83.9,❌ Low ROI
LOC-0150,Madhya Pradesh,Bhopal,131.0,1108000.0,2562000.0,3670000,23,120200,1442400,24.3,63.1,❌ Low ROI
LOC-0014,West Bengal,Kolkata,35.0,938000.0,4439000.0,5377000,26,58400,700800,-2.0,40.6,❌ Low ROI
LOC-0099,Rajasthan,Udaipur,89.0,1244000.0,,2237000,105,478500,5742000,241.7,54.9,🏆 Excellent
LOC-0024,Uttar Pradesh,Kanpur,65.0,996000.0,2522000.0,3518000,22,108400,1300800,22.0,73.6,❌ Low ROI
LOC-0090,Maharashtra,Nagpur,152.0,915000.0,3182000.0,4097000,76,375000,4500000,94.8,65.3,🏆 Excellent
LOC-0030,Karnataka,Mangaluru,57.0,567000.0,1505000.0,2072000,57,266100,3193200,139.1,55.0,🏆 Excellent
LOC-0011,Gujarat,Vadodara,160.0,1092000.0,4642000.0,5734000,42,96000,1152000,5.1,84.8,❌ Low ROI
LOC-0181,Andhra Pradesh,Visakhapatnam,102.0,406000.0,2243000.0,2649000,20,39800,477600,3.0,60.1,❌ Low ROI
LOC-0058,Karnataka,Hubli,173.0,1004000.0,3220000.0,4224000,45,188900,2266800,38.7,85.8,⚠️ Moderate
LOC-0170,Andhra Pradesh,Kurnool,82.0,675000.0,4681000.0,5356000,46,143500,1722000,17.2,42.7,❌ Low ROI
LOC-0066,Punjab,Jalandhar,40.0,1364000.0,1966000.0,3330000,49,91000,1092000,17.8,49.9,❌ Low ROI
LOC-0065,Rajasthan,Ajmer,36.0,363000.0,3746000.0,4109000,20,41800,501600,-2.8,47.5,❌ Low ROI
LOC-0134,Andhra Pradesh,Guntur,98.0,1990000.0,4815000.0,6805000,26,99900,1198800,2.6,49.6,❌ Low ROI
LOC-0007,Gujarat,Gandhinagar,84.0,1998000.0,4671000.0,6669000,24,64900,778800,-3.3,91.5,❌ Low ROI
LOC-0045,Tamil Nadu,Tiruchirappalli,148.0,792000.0,861000.0,1653000,57,189700,2276400,122.7,90.1,🏆 Excellent
LOC-0013,Uttar Pradesh,Meerut,69.0,996000.0,2632000.0,3628000,36,100400,1204800,18.2,47.3,❌ Low ROI
LOC-0183,Kerala,Kochi,70.0,645000.0,1304000.0,1949000,35,163600,1963200,85.7,47.3,🏆 Excellent
LOC-0129,West Bengal,Kolkata,97.0,1341000.0,4952000.0,6293000,38,117800,1413600,7.5,76.7,❌ Low ROI
LOC-0179,Karnataka,Bengaluru,90.0,1400000.0,4207000.0,5607000,54,190400,2284800,25.7,66.1,⚠️ Moderate
LOC-0055,Rajasthan,Jaipur,87.0,548000.0,4397000.0,4945000,21,56100,673200,-1.4,43.5,❌ Low ROI
LOC-0003,Andhra Pradesh,Kurnool,48.0,1857000.0,1505000.0,3362000,38,130900,1570800,31.7,79.7,⚠️ Moderate
LOC-0067,Delhi,Gurugram,104.0,282000.0,2083000.0,2365000,58,226800,2721600,100.1,52.3,🏆 Excellent
LOC-0004,Kerala,Thrissur,105.0,740000.0,4670000.0,5410000,32,124300,1491600,12.6,91.7,❌ Low ROI
LOC-0026,Uttar Pradesh,Kanpur,88.0,745000.0,3950000.0,4695000,60,276300,3315600,55.6,57.7,✅ Strong
LOC-0185,Punjab,Ludhiana,125.0,1560000.0,3295000.0,4855000,26,74600,895200,3.4,91.3,❌ Low ROI
LOC-0176,Uttar Pradesh,Meerut,,449000.0,3001000.0,3450000,59,307000,3684000,91.8,77.0,🏆 Excellent
LOC-0036,Tamil Nadu,Madurai,115.0,1625000.0,2327000.0,3952000,61,179200,2150400,39.4,53.9,⚠️ Moderate
LOC-0015,Karnataka,Mangaluru,177.0,427000.0,2555000.0,2982000,73,229100,2749200,77.2,72.4,✅ Strong
LOC-0131,Maharashtra,Aurangabad,81.0,1882000.0,3319000.0,5201000,16,42600,511200,-5.2,48.4,❌ Low ROI
LOC-0132,Madhya Pradesh,Jabalpur,44.0,397000.0,2839000.0,3236000,43,214100,2569200,64.4,78.9,✅ Strong
LOC-0107,Haryana,Ambala,56.0,271000.0,3273000.0,3544000,74,323800,3885600,94.6,69.1,🏆 Excellent
LOC-0046,Andhra Pradesh,Tirupati,26.0,986000.0,2438000.0,3424000,44,185300,2223600,49.9,42.3,⚠️ Moderate
LOC-0113,Madhya Pradesh,Gwalior,95.0,1325000.0,1966000.0,3291000,123,647300,7767600,221.0,85.9,🏆 Excellent
LOC-0083,Maharashtra,Nashik,87.0,721000.0,3391000.0,4112000,81,377000,4524000,95.0,73.2,🏆 Excellent
LOC-0172,Madhya Pradesh,Bhopal,113.0,1470000.0,1662000.0,3132000,48,98000,1176000,22.5,66.4,❌ Low ROI
LOC-0010,Rajasthan,Bikaner,88.0,,3794000.0,5090000,152,811900,9742800,176.4,50.5,🏆 Excellent
LOC-0123,Maharashtra,Nashik,239.0,1341000.0,1089000.0,2430000,157,444700,5336400,204.6,45.7,🏆 Excellent
LOC-0049,Tamil Nadu,Salem,153.0,885000.0,1088000.0,1973000,21,71900,862800,28.7,73.0,⚠️ Moderate
LOC-0177,Haryana,Gurugram,35.0,1995000.0,2079000.0,4074000,35,146000,1752000,28.0,90.7,⚠️ Moderate
LOC-0135,Delhi,Faridabad,127.0,1188000.0,3286000.0,4474000,32,111300,1335600,14.9,79.9,❌ Low ROI
LOC-0142,Punjab,Ludhiana,42.0,1930000.0,1627000.0,3557000,23,61700,740400,5.8,53.6,❌ Low ROI
LOC-0173,Delhi,Rohini,114.0,288000.0,3326000.0,3614000,29,85600,1027200,13.4,61.7,❌ Low ROI
LOC-0043,Rajasthan,Bikaner,32.0,749000.0,4198000.0,4947000,16,47900,574800,-3.4,43.9,❌ Low ROI
LOC-0120,West Bengal,Howrah,45.0,1883000.0,1589000.0,3472000,36,143900,1726800,34.7,89.1,⚠️ Moderate
LOC-0140,Uttar Pradesh,Allahabad,246.0,1477000.0,2130000.0,3607000,17,45800,549600,0.2,85.3,❌ Low ROI
