Location_ID,State,City,Estimated_EV_Density,Land_Cost_INR,Estimated_Setup_Cost_INR,Total_Investment_INR,Expected_Daily_Users,Expected_Monthly_Rev_INR,Expected_Annual_Rev_INR,ROI_Percentage,Priority_Score,ROI_Band
LOC-0054,West Bengal,Asansol,38,1534000,3347000,4881000,35,79500,954000,4.5,83.9,Low
LOC-0150,Madhya Pradesh,Bhopal,131,1108000,2562000,3670000,23,120200,1442400,24.3,63.1,Low
LOC-0014,West Bengal,Kolkata,35,938000,4439000,5377000,26,58400,700800,-2,40.6,Negative ROI
LOC-0099,Rajasthan,Udaipur,89,1244000,2854923.46,2237000,105,478500,5742000,241.7,54.9,Excellent
LOC-0024,Uttar Pradesh,Kanpur,65,996000,2522000,3518000,22,108400,1300800,22,73.6,Low
LOC-0090,Maharashtra,Nagpur,152,915000,3182000,4097000,76,375000,4500000,94.8,65.3,Excellent
LOC-0030,Karnataka,Mangaluru,57,567000,1505000,2072000,57,266100,3193200,139.1,55,Excellent
LOC-0011,Gujarat,Vadodara,160,1092000,4642000,5734000,42,96000,1152000,5.1,84.8,Low
LOC-0181,Andhra Pradesh,Visakhapatnam,102,406000,2243000,2649000,20,39800,477600,3,60.1,Low
LOC-0058,Karnataka,Hubli,173,1004000,3220000,4224000,45,188900,2266800,38.7,85.8,Moderate
LOC-0170,Andhra Pradesh,Kurnool,82,675000,4681000,5356000,46,143500,1722000,17.2,42.7,Low
LOC-0066,Punjab,Jalandhar,40,1364000,1966000,3330000,49,91000,1092000,17.8,49.9,Low
LOC-0065,Rajasthan,Ajmer,36,363000,3746000,4109000,20,41800,501600,-2.8,47.5,Negative ROI
LOC-0134,Andhra Pradesh,Guntur,98,1990000,4815000,6805000,26,99900,1198800,2.6,49.6,Low
LOC-0007,Gujarat,Gandhinagar,84,1998000,4671000,6669000,24,64900,778800,-3.3,91.5,Negative ROI
LOC-0045,Tamil Nadu,Tiruchirappalli,148,792000,861000,1653000,57,189700,2276400,122.7,90.1,Excellent
LOC-0013,Uttar Pradesh,Meerut,69,996000,2632000,3628000,36,100400,1204800,18.2,47.3,Low
LOC-0183,Kerala,Kochi,70,645000,1304000,1949000,35,163600,1963200,85.7,47.3,Excellent
LOC-0129,West Bengal,Kolkata,97,1341000,4952000,6293000,38,117800,1413600,7.5,76.7,Low
LOC-0179,Karnataka,Bengaluru,90,1400000,4207000,5607000,54,190400,2284800,25.7,66.1,Moderate
LOC-0055,Rajasthan,Jaipur,87,548000,4397000,4945000,21,56100,673200,-1.4,43.5,Negative ROI
LOC-0003,Andhra Pradesh,Kurnool,48,1857000,1505000,3362000,38,130900,1570800,31.7,79.7,Moderate
LOC-0067,Delhi,Gurugram,104,282000,2083000,2365000,58,226800,2721600,100.1,52.3,Excellent
LOC-0004,Kerala,Thrissur,105,740000,4670000,5410000,32,124300,1491600,12.6,91.7,Low
LOC-0026,Uttar Pradesh,Kanpur,88,745000,3950000,4695000,60,276300,3315600,55.6,57.7,Strong
LOC-0185,Punjab,Ludhiana,125,1560000,3295000,4855000,26,74600,895200,3.4,91.3,Low
LOC-0176,Uttar Pradesh,Meerut,110.13,449000,3001000,3450000,59,307000,3684000,91.8,77,Excellent
LOC-0036,Tamil Nadu,Madurai,115,1625000,2327000,3952000,61,179200,2150400,39.4,53.9,Moderate
LOC-0015,Karnataka,Mangaluru,177,427000,2555000,2982000,73,229100,2749200,77.2,72.4,Strong
LOC-0131,Maharashtra,Aurangabad,81,1882000,3319000,5201000,16,42600,511200,-5.2,48.4,Negative ROI
LOC-0132,Madhya Pradesh,Jabalpur,44,397000,2839000,3236000,43,214100,2569200,64.4,78.9,Strong
LOC-0107,Haryana,Ambala,56,271000,3273000,3544000,74,323800,3885600,94.6,69.1,Excellent
LOC-0046,Andhra Pradesh,Tirupati,26,986000,2438000,3424000,44,185300,2223600,49.9,42.3,Moderate
LOC-0113,Madhya Pradesh,Gwalior,95,1325000,1966000,3291000,123,647300,7767600,221,85.9,Excellent
LOC-0083,Maharashtra,Nashik,87,721000,3391000,4112000,81,377000,4524000,95,73.2,Excellent
LOC-0172,Madhya Pradesh,Bhopal,113,1470000,1662000,3132000,48,98000,1176000,22.5,66.4,Low
LOC-0010,Rajasthan,Bikaner,88,1013112.24,3794000,5090000,152,811900,9742800,176.4,50.5,Excellent
LOC-0123,Maharashtra,Nashik,239,1341000,1089000,2430000,157,444700,5336400,204.6,45.7,Excellent
LOC-0049,Tamil Nadu,Salem,153,885000,1088000,1973000,21,71900,862800,28.7,73,Moderate
LOC-0177,Haryana,Gurugram,35,1995000,2079000,4074000,35,146000,1752000,28,90.7,Moderate
LOC-0135,Delhi,Faridabad,127,1188000,3286000,4474000,32,111300,1335600,14.9,79.9,Low
LOC-0142,Punjab,Ludhiana,42,1930000,1627000,3557000,23,61700,740400,5.8,53.6,Low
LOC-0173,Delhi,Rohini,114,288000,3326000,3614000,29,85600,1027200,13.4,61.7,Low
LOC-0043,Rajasthan,Bikaner,32,749000,4198000,4947000,16,47900,574800,-3.4,43.9,Negative ROI
LOC-0120,West Bengal,Howrah,45,1883000,1589000,3472000,36,143900,1726800,34.7,89.1,Moderate
LOC-0140,Uttar Pradesh,Allahabad,246,1477000,2130000,3607000,17,45800,549600,0.2,85.3,Low
LOC-0166,Delhi,New Delhi,97,373000,1826000,2199000,75,369500,4434000,186.6,45.3,Excellent
LOC-0182,Tamil Nadu,Madurai,108,548000,4242000,4790000,25,52300,627600,-1.9,80.1,Negative ROI
LOC-0101,Rajasthan,Ajmer,110.13,1013112.24,2625000,4070000,82,387000,4644000,99.1,77.6,Excellent
LOC-0115,Haryana,Panipat,107,934000,2784000,3718000,41,126000,1512000,25.7,63.3,Moderate
LOC-0029,Maharashtra,Aurangabad,33,1387000,2935000,4322000,35,68600,823200,4,79.4,Low
LOC-0042,Uttar Pradesh,Kanpur,48,1571000,3515000,5086000,14,36800,441600,-6.3,93.1,Negative ROI
LOC-0072,Delhi,Dwarka,47,501000,4007000,4508000,39,105700,1268400,13.1,83.1,Low
LOC-0080,Punjab,Patiala,37,969000,4149000,5118000,70,156300,1875600,21.6,94.6,Low
LOC-0006,Delhi,Faridabad,48,491000,2272000,2763000,40,119300,1431600,36.8,85.1,Moderate
LOC-0162,Telangana,Hyderabad,138,216000,4338000,4554000,49,206300,2475600,39.4,56.8,Moderate
LOC-0127,Rajasthan,Jaipur,63,513000,4187000,4700000,26,57100,685200,-0.4,68.4,Negative ROI
LOC-0012,Uttar Pradesh,Allahabad,244,567000,2743000,3310000,55,103700,1244400,22.6,70.8,Low
LOC-0190,Haryana,Faridabad,183,1013112.24,2044000,3253000,42,188000,2256000,54.4,72.8,Strong
LOC-0025,Madhya Pradesh,Ujjain,91,302000,4002000,4304000,36,119600,1435200,18.3,64.8,Low
LOC-0093,Rajasthan,Udaipur,89,310000,4149000,4459000,133,665000,7980000,164,94.8,Excellent
LOC-0180,Karnataka,Mysuru,53,1853000,3998000,5851000,38,98200,1178400,5.1,90.9,Low
LOC-0009,West Bengal,Asansol,114,1027000,2418000,3445000,20,47100,565200,1.4,57.4,Low
LOC-0175,Karnataka,Hubli,84,908000,4767000,5675000,98,426200,5114400,75.1,43.8,Strong
LOC-0193,Telangana,Karimnagar,58,1256000,3155000,4411000,34,142300,1707600,23.7,80.8,Low
LOC-0187,Rajasthan,Kota,164,554000,1140000,1694000,38,202300,2427600,128.3,86.6,Excellent
LOC-0143,Maharashtra,Thane,135,352000,1849000,2201000,36,171100,2053200,78.3,82.4,Strong
LOC-0196,Rajasthan,Kota,149,1018000,4136000,5154000,26,128800,1545600,15,87,Low
LOC-0086,Tamil Nadu,Coimbatore,110.13,389000,1265000,1654000,30,127800,1533600,77.7,82.9,Strong
LOC-0109,Uttar Pradesh,Allahabad,129,1945000,2854923.46,6934000,33,151800,1821600,11.3,63,Low
LOC-0110,Punjab,Chandigarh,62,481000,2548000,3029000,40,108600,1303200,28,89.1,Moderate
LOC-0112,West Bengal,Asansol,51,944000,4379000,5323000,45,194500,2334000,28.8,77.5,Moderate
LOC-0155,Andhra Pradesh,Visakhapatnam,152,759000,1144000,1903000,68,206500,2478000,115.2,60.3,Excellent
LOC-0114,Tamil Nadu,Chennai,265,1462000,2118000,3580000,44,226800,2721600,61,65.2,Strong
LOC-0041,Delhi,Noida,41,1325000,1185000,2510000,21,55800,669600,11.7,84.2,Low
LOC-0136,Maharashtra,Mumbai,1199,1406000,1728000,3134000,66,336100,4033200,113.7,59.1,Excellent
LOC-0079,Kerala,Kozhikode,72,1889000,3827000,5716000,138,402200,4826400,69.4,85,Strong
LOC-0002,Maharashtra,Thane,18,483000,3339000,3822000,19,95600,1147200,15,65.6,Low
LOC-0116,Haryana,Ambala,55,1539000,2162000,3701000,113,286000,3432000,77.7,51.1,Strong
LOC-0195,Tamil Nadu,Tiruchirappalli,326,220000,2408000,2628000,55,164500,1974000,60.1,73.4,Strong
LOC-0152,Haryana,Yamunanagar,126,1943000,3327000,5270000,18,87800,1053600,5,51.3,Low
LOC-0194,Tamil Nadu,Madurai,48,343000,4119000,4462000,50,93600,1123200,10.2,82.3,Low
LOC-0191,Andhra Pradesh,Vijayawada,98,641000,4588000,5229000,58,221500,2658000,35.8,69.9,Moderate
LOC-0095,Gujarat,Gandhinagar,148,1969000,2935000,4904000,97,502900,6034800,108.1,92.5,Excellent
LOC-0037,West Bengal,Howrah,100,1514000,4178000,5692000,44,150800,1809600,16.8,57.2,Low
LOC-0174,West Bengal,Durgapur,186,782000,2312000,3094000,32,166100,1993200,49.4,42.3,Moderate
LOC-0154,Madhya Pradesh,Ujjain,124,1434000,4989000,6423000,41,158300,1899600,14.6,79,Low
LOC-0063,Delhi,Noida,30,398000,4150000,4548000,71,273200,3278400,57.1,55,Strong
LOC-0001,Haryana,Faridabad,151,813000,1904000,2717000,30,74500,894000,17.9,79.6,Low
LOC-0028,Telangana,Nizamabad,31,861000,2015000,2876000,56,191600,2299200,64.9,85,Strong
LOC-0160,West Bengal,Kolkata,92,420000,4466000,4886000,35,186800,2241600,30.9,40.7,Moderate
LOC-0119,Gujarat,Gandhinagar,342,496000,4724000,5220000,81,304100,3649200,54.9,43.2,Strong
LOC-0167,Tamil Nadu,Salem,89,1024000,2854923.46,4895000,38,75400,904800,3.5,78,Low
LOC-0021,Tamil Nadu,Coimbatore,37,792000,4706000,5498000,43,199400,2392800,28.5,89,Moderate
LOC-0161,Madhya Pradesh,Jabalpur,72,483000,1357000,1840000,67,289700,3476400,173.9,87.9,Excellent
LOC-0159,Kerala,Kozhikode,83,615000,3473000,4088000,73,237300,2847600,54.7,87.9,Strong
LOC-0145,Andhra Pradesh,Vijayawada,61,351000,3654000,4005000,61,238300,2859600,56.4,54.8,Strong
LOC-0078,Punjab,Patiala,91,1993000,3209000,5202000,50,268900,3226800,47,63.3,Moderate
LOC-0031,Delhi,Faridabad,103,1197000,4022000,5219000,91,273800,3285600,48,90.1,Moderate
LOC-0157,Haryana,Panipat,79,1682000,4394000,6076000,84,421400,5056800,68.2,42.7,Strong
LOC-0018,Punjab,Ludhiana,73,1324000,4848000,6172000,41,99400,1192800,4.3,46.4,Low
LOC-0060,Gujarat,Vadodara,307,1677000,3647000,5324000,62,322300,3867600,57.6,76.2,Strong
LOC-0184,Punjab,Amritsar,109,1642000,1013000,2655000,23,77800,933600,20.2,78.5,Low
LOC-0153,Delhi,Dwarka,74,550000,3308000,3858000,37,115300,1383600,20.9,53.4,Low
LOC-0144,Maharashtra,Nagpur,62,1588000,1667000,3255000,39,205700,2468400,60.8,54.2,Strong
LOC-0141,Haryana,Yamunanagar,152,643000,2469000,3112000,37,96700,1160400,22.3,86.8,Low
LOC-0165,Tamil Nadu,Vellore,95,825000,2893000,3718000,28,67400,808800,6.8,86.1,Low
LOC-0094,West Bengal,Kolkata,154,1139000,2028000,3167000,26,94600,1135200,20.8,59.9,Low
LOC-0121,Telangana,Karimnagar,395,1045000,935000,1980000,24,91900,1102800,40.7,40.9,Moderate
LOC-0022,Uttar Pradesh,Lucknow,177,1828000,3785000,5613000,36,97400,1168800,5.8,91.2,Low
LOC-0056,Maharashtra,Kolhapur,88,715000,1654000,2369000,44,208300,2499600,90.5,90.4,Excellent
LOC-0017,Telangana,Warangal,79,683000,3058000,3741000,67,189700,2276400,45.9,42.5,Moderate
LOC-0148,Haryana,Gurugram,81,341000,3522000,3863000,31,94300,1131600,14.3,91.7,Low
LOC-0092,Telangana,Nizamabad,38,692000,1761000,2453000,53,102700,1232400,35.2,49.7,Moderate
LOC-0100,Haryana,Yamunanagar,39,892000,3210000,4102000,88,254600,3055200,59.5,87.1,Strong
LOC-0124,Uttar Pradesh,Agra,122,1040000,2854923.46,2277000,36,90100,1081200,32.5,48.9,Moderate
LOC-0200,Delhi,Faridabad,150,392000,4395000,4787000,58,220900,2650800,40.4,84.5,Moderate
LOC-0075,Punjab,Patiala,183,1256000,1769000,3025000,29,72500,870000,13.8,79.3,Low
LOC-0128,Rajasthan,Udaipur,49,673000,1995000,2668000,47,116100,1393200,37.2,57.4,Moderate
LOC-0164,Haryana,Yamunanagar,136,1622000,996000,2618000,81,211300,2535600,81.9,54.6,Excellent
LOC-0147,Karnataka,Mangaluru,211,439000,2619000,3058000,48,152600,1831200,44.9,92.5,Moderate
LOC-0199,Tamil Nadu,Madurai,88,704000,3082000,3786000,73,274000,3288000,71.8,49.3,Strong
LOC-0088,Haryana,Gurugram,77,1971000,2174000,4145000,21,43600,523200,-2.4,56.9,Negative ROI
LOC-0091,West Bengal,Asansol,173,917000,3707000,4624000,21,39900,478800,-4.6,45.2,Negative ROI
LOC-0085,Punjab,Patiala,40,785000,3993000,4778000,64,216700,2600400,39.4,55.1,Moderate
LOC-0019,Tamil Nadu,Tiruchirappalli,33,1043000,1973000,3016000,27,137300,1647600,39.6,71.2,Moderate
LOC-0098,Andhra Pradesh,Tirupati,219,472000,4019000,4491000,51,259700,3116400,54.4,82.4,Strong
LOC-0102,Karnataka,Belagavi,137,408000,4051000,4459000,45,171400,2056800,31.1,62.5,Moderate
LOC-0126,Maharashtra,Aurangabad,84,1245000,1087000,2332000,24,72600,871200,22.4,45.7,Low
