Corridor_ID,Highway_Name,Start_City,End_City,Total_Distance_KM,Daily_Traffic_Vehicles,Existing_Charging_Stations,Avg_Distance_Between_Stations_KM,EV_Traffic_Share_Pct,Coverage_Score
COR-026,NH-76,Pindwara,Shivpuri,748,42981,11,68.0,2.3,100
COR-031,NH-27,Porbandar,Silchar,1550,15703,9,172.2,2.5,90
COR-030,NH-66,Panvel,Kanyakumari,722,31102,8,90.2,9.2,80
COR-079,NH-76,Pindwara,Shivpuri,1143,18682,4,285.8,2.2,40
COR-075,NH-66,Panvel,Kanyakumari,1303,42527,3,434.3,7.9,30
COR-058,NH-31,Barhi,Guwahati,1822,44663,8,227.8,5.5,80
COR-042,NH-8,Delhi,Jaipur,1801,10286,8,225.1,6.3,80
COR-072,NH-76,Pindwara,Shivpuri,523,41688,9,58.1,5.8,90
COR-024,NH-2,Delhi,Agra,1116,36959,6,186.0,6.1,60
COR-015,NH-27,Porbandar,Silchar,1727,18403,5,345.4,6.3,50
COR-022,NH-6,Surat,Kolkata,1682,16599,4,420.5,18.0,40
COR-037,NH-8,Delhi,Jaipur,1396,58295,5,279.2,11.7,50
COR-059,NH-48,Delhi,Mumbai,861,19265,4,215.2,7.5,40
COR-014,NH-2,Delhi,Agra,1652,13744,5,330.4,6.3,50
COR-068,NH-4,Mumbai,Chennai,1419,23649,12,118.2,8.2,100
COR-056,NH-17,Panvel,Edapally,1540,58410,3,513.3,13.1,30
COR-045,NH-27,Porbandar,Silchar,1114,18528,8,139.2,9.1,80
COR-002,NH-24,Delhi,Lucknow,1078,23818,9,119.8,4.5,90
COR-029,NH-31,Barhi,Guwahati,1472,15143,3,490.7,9.7,30
COR-069,NH-27,Porbandar,Silchar,758,11715,7,108.3,2.3,70
COR-053,NH-19,Delhi,Kolkata,1778,14924,8,222.2,10.7,80
COR-057,NH-7,Varanasi,Kanyakumari,962,11457,12,80.2,11.6,100
COR-036,NH-19,Delhi,Kolkata,400,23453,10,40.0,13.5,100
COR-049,NH-58,Delhi,Badrinath,857,14213,0,857.0,9.6,0
COR-028,NH-44,Srinagar,Kanyakumari,1216,13755,4,304.0,11.6,40
COR-011,NH-7,Varanasi,Kanyakumari,1215,26858,6,202.5,10.6,60
COR-046,NH-76,Pindwara,Shivpuri,621,21225,0,621.0,16.4,0
COR-061,NH-24,Delhi,Lucknow,1480,16251,10,148.0,10.6,100
COR-019,NH-48,Delhi,Mumbai,848,23048,4,212.0,4.7,40
COR-074,NH-19,Delhi,Kolkata,1448,30484,1,1448.0,12.2,10
