Corridor_ID,Highway_Name,Start_City,End_City,Total_Distance_KM,Daily_Traffic_Vehicles,Existing_Charging_Stations,Avg_Distance_Between_Stations_KM,EV_Traffic_Share_Pct,Coverage_Score,Coverage_Status,Additional_Station_Needed
COR-026,NH-76,Pindwara,Shivpuri,748,42981,11,68,2.3,100,Acceptable,0
COR-031,NH-27,Porbandar,Silchar,1550,15703,9,172.2,2.5,90,Moderate Gap,11
COR-030,NH-66,Panvel,Kanyakumari,722,31102,8,90.2,9.2,80,Acceptable,2
COR-079,NH-76,Pindwara,Shivpuri,1143,18682,4,285.8,2.2,40,Critical Gap,11
COR-075,NH-66,Panvel,Kanyakumari,1303,42527,3,434.3,7.9,30,Critical Gap,14
COR-058,NH-31,Barhi,Guwahati,1822,44663,8,227.8,5.5,80,Critical Gap,15
COR-042,NH-8,Delhi,Jaipur,1801,10286,8,225.1,6.3,80,Critical Gap,15
COR-072,NH-76,Pindwara,Shivpuri,523,41688,9,58.1,5.8,90,Acceptable,0
COR-024,NH-2,Delhi,Agra,1116,36959,6,186,6.1,60,Moderate Gap,8
COR-015,NH-27,Porbandar,Silchar,1727,18403,5,345.4,6.3,50,Critical Gap,17
COR-022,NH-6,Surat,Kolkata,1682,16599,4,420.5,18,40,Critical Gap,18
COR-037,NH-8,Delhi,Jaipur,1396,58295,5,279.2,11.7,50,Critical Gap,13
COR-059,NH-48,Delhi,Mumbai,861,19265,4,215.2,7.5,40,Critical Gap,7
COR-014,NH-2,Delhi,Agra,1652,13744,5,330.4,6.3,50,Critical Gap,16
COR-068,NH-4,Mumbai,Chennai,1419,23649,12,118.2,8.2,100,Moderate Gap,6
COR-056,NH-17,Panvel,Edapally,1540,58410,3,513.3,13.1,30,Critical Gap,17
COR-045,NH-27,Porbandar,Silchar,1114,18528,8,139.2,9.1,80,Moderate Gap,6
COR-002,NH-24,Delhi,Lucknow,1078,23818,9,119.8,4.5,90,Moderate Gap,5
COR-029,NH-31,Barhi,Guwahati,1472,15143,3,490.7,9.7,30,Critical Gap,16
COR-069,NH-27,Porbandar,Silchar,758,11715,7,108.3,2.3,70,Moderate Gap,3
COR-053,NH-19,Delhi,Kolkata,1778,14924,8,222.2,10.7,80,Critical Gap,15
COR-057,NH-7,Varanasi,Kanyakumari,962,11457,12,80.2,11.6,100,Acceptable,1
COR-036,NH-19,Delhi,Kolkata,400,23453,10,40,13.5,100,Well Covered,0
COR-049,NH-58,Delhi,Badrinath,857,14213,0,857,9.6,0,Critical Gap,11
COR-028,NH-44,Srinagar,Kanyakumari,1216,13755,4,304,11.6,40,Critical Gap,12
COR-011,NH-7,Varanasi,Kanyakumari,1215,26858,6,202.5,10.6,60,Critical Gap,10
COR-046,NH-76,Pindwara,Shivpuri,621,21225,0,621,16.4,0,Critical Gap,8
COR-061,NH-24,Delhi,Lucknow,1480,16251,10,148,10.6,100,Moderate Gap,9
COR-019,NH-48,Delhi,Mumbai,848,23048,4,212,4.7,40,Critical Gap,7
COR-074,NH-19,Delhi,Kolkata,1448,30484,1,1448,12.2,10,Critical Gap,18
COR-001,NH-66,Panvel,Kanyakumari,1156,21363,0,1156,8.3,0,Critical Gap,15
COR-012,NH-6,Surat,Kolkata,1656,18343,3,552,13.3,30,Critical Gap,18
COR-033,NH-48,Delhi,Mumbai,343,27519,11,31.2,16.1,100,Well Covered,0
COR-051,NH-17,Panvel,Edapally,1975,8682,2,987.5,12,20,Critical Gap,23
COR-071,NH-58,Delhi,Badrinath,1057,53661,7,151,6.1,70,Moderate Gap,7
COR-010,NH-58,Delhi,Badrinath,1846,17723,1,1846,10.8,10,Critical Gap,23
COR-078,NH-58,Delhi,Badrinath,1871,52078,0,1871,13.6,0,Critical Gap,24
COR-018,NH-31,Barhi,Guwahati,780,32676,10,78,9.7,100,Acceptable,0
COR-064,NH-31,Barhi,Guwahati,870,17857,8,108.8,6,80,Moderate Gap,3
COR-060,NH-2,Delhi,Agra,504,22879,3,168,14,30,Moderate Gap,4
COR-009,NH-76,Pindwara,Shivpuri,497,25273,4,124.2,7.7,40,Moderate Gap,3
COR-062,NH-76,Pindwara,Shivpuri,896,32177,6,149.3,10.5,60,Moderate Gap,6
COR-080,NH-7,Varanasi,Kanyakumari,991,21850,11,90.1,12.6,100,Acceptable,2
COR-027,NH-6,Surat,Kolkata,1976,18500,10,197.6,3.7,100,Moderate Gap,15
COR-055,NH-16,Kolkata,Chennai,1807,22483,1,1807,9.6,10,Critical Gap,22
COR-013,NH-31,Barhi,Guwahati,660,31378,1,660,16.6,10,Critical Gap,8
COR-054,NH-31,Barhi,Guwahati,330,12880,0,330,16.4,0,Critical Gap,5
COR-017,NH-76,Pindwara,Shivpuri,1301,16946,12,108.4,11.9,100,Moderate Gap,5
COR-003,NH-58,Delhi,Badrinath,1014,44381,10,101.4,9.1,100,Moderate Gap,3
COR-063,NH-31,Barhi,Guwahati,755,10663,1,755,13.3,10,Critical Gap,9
COR-020,NH-8,Delhi,Jaipur,1137,8725,12,94.8,12.2,100,Acceptable,3
COR-070,NH-48,Delhi,Mumbai,1879,20808,6,313.2,12.7,60,Critical Gap,18
COR-007,NH-76,Pindwara,Shivpuri,1590,12811,12,132.5,7.1,100,Moderate Gap,8
COR-047,NH-7,Varanasi,Kanyakumari,349,19208,4,87.2,2.4,40,Acceptable,1
COR-066,NH-58,Delhi,Badrinath,335,34162,6,55.8,6.7,60,Acceptable,0
COR-025,NH-24,Delhi,Lucknow,849,16341,0,849,14.1,0,Critical Gap,11
COR-006,NH-7,Varanasi,Kanyakumari,1293,54786,10,129.3,16.1,100,Moderate Gap,7
COR-004,NH-76,Pindwara,Shivpuri,1645,51106,8,205.6,9.6,80,Critical Gap,13
COR-034,NH-17,Panvel,Edapally,1898,21679,1,1898,4.9,10,Critical Gap,23
COR-065,NH-76,Pindwara,Shivpuri,1739,22707,4,434.8,15.9,40,Critical Gap,18
COR-039,NH-17,Panvel,Edapally,769,35229,11,69.9,5.8,100,Acceptable,0
COR-067,NH-76,Pindwara,Shivpuri,1106,20141,11,100.5,14.3,100,Moderate Gap,3
COR-052,NH-24,Delhi,Lucknow,456,35498,1,456,4.9,10,Critical Gap,5
COR-077,NH-17,Panvel,Edapally,1269,12619,9,141,10.2,90,Moderate Gap,7
COR-043,NH-58,Delhi,Badrinath,373,28847,0,373,9.5,0,Critical Gap,5
COR-005,NH-66,Panvel,Kanyakumari,774,40891,4,193.5,8,40,Moderate Gap,6
COR-040,NH-7,Varanasi,Kanyakumari,630,15574,12,52.5,9,100,Acceptable,0
COR-038,NH-8,Delhi,Jaipur,1397,17683,2,698.5,17.8,20,Critical Gap,16
